n distinct (x,y) cell-columns with content: 342
phi=   0.9  x=    5.0  y= -305.0  content=2.049e+05
phi=   1.0  x=    5.0  y= -295.0  content=2.196e+05
phi=   1.0  x=    5.0  y= -285.0  content=4.463e+05
phi=   1.0  x=    5.0  y= -275.0  content=2.1e+05
phi=   1.1  x=    5.0  y= -265.0  content=1.945e+05
phi=   1.1  x=    5.0  y= -255.0  content=2.927e+05
phi=   1.2  x=    5.0  y= -235.0  content=1.304e+05
phi=   1.3  x=    5.0  y= -225.0  content=4.814e+04
phi=   1.3  x=    5.0  y= -215.0  content=3.565e+04
phi=   1.4  x=    5.0  y= -205.0  content=4.493e+04
phi=   1.5  x=    5.0  y= -195.0  content=4.982e+04
phi=   1.6  x=    5.0  y= -175.0  content=5.833e+04
phi=   1.7  x=    5.0  y= -165.0  content=1.374e+05
phi=   1.8  x=    5.0  y= -155.0  content=1.456e+05
phi=  17.2  x=   45.0  y= -145.0  content=2.427e+05
phi=  18.4  x=   55.0  y= -165.0  content=2.25e+05
phi=  19.4  x=   65.0  y= -185.0  content=3.967e+04
phi=  19.5  x=   55.0  y= -155.0  content=3.698e+05
phi=  20.4  x=   65.0  y= -175.0  content=1.832e+05
phi=  20.8  x=   55.0  y= -145.0  content=2.096e+05
phi=  21.0  x=   75.0  y= -195.0  content=1.679e+05
phi=  21.5  x=   65.0  y= -165.0  content=4.835e+04
phi=  21.6  x=   85.0  y= -215.0  content=7.24e+04
phi=  22.0  x=   95.0  y= -235.0  content=4.246e+04
phi=  22.1  x=   75.0  y= -185.0  content=9.65e+04
phi=  22.5  x=   85.0  y= -205.0  content=1.399e+05
phi=  22.9  x=   95.0  y= -225.0  content=1.616e+05
phi=  23.2  x=  105.0  y= -245.0  content=1.947e+05
phi=  23.5  x=  115.0  y= -265.0  content=2.351e+05
phi=  23.8  x=   95.0  y= -215.0  content=3.855e+04
phi=  24.1  x=  105.0  y= -235.0  content=1.734e+05
phi=  24.3  x=  115.0  y= -255.0  content=2.698e+05
phi=  24.4  x=  125.0  y= -275.0  content=5.426e+05
phi=  24.6  x=  135.0  y= -295.0  content=4.75e+05
phi=  25.1  x=  115.0  y= -245.0  content=7.283e+04
phi=  25.3  x=  125.0  y= -265.0  content=2.435e+05
phi=  25.3  x=  135.0  y= -285.0  content=4.483e+05
phi=  25.4  x=  145.0  y= -305.0  content=6.322e+05
phi=  26.2  x=  145.0  y= -295.0  content=1.741e+05
phi=  27.5  x=   65.0  y= -125.0  content=2.042e+06
phi=  29.1  x=   75.0  y= -135.0  content=5.556e+05
phi=  29.5  x=   65.0  y= -115.0  content=8.94e+05
phi=  30.4  x=   85.0  y= -145.0  content=1.845e+05
phi=  31.0  x=   75.0  y= -125.0  content=7.71e+05
phi=  32.2  x=   85.0  y= -135.0  content=6.388e+05
phi=  33.2  x=   95.0  y= -145.0  content=5.791e+05
phi=  34.1  x=  105.0  y= -155.0  content=5.194e+05
phi=  34.9  x=  115.0  y= -165.0  content=3.659e+05
phi=  35.5  x=  125.0  y= -175.0  content=2.439e+05
phi=  36.1  x=  135.0  y= -185.0  content=1.48e+05
phi=  36.6  x=  115.0  y= -155.0  content=1.217e+05
phi=  37.1  x=  125.0  y= -165.0  content=2.449e+05
phi=  37.6  x=  135.0  y= -175.0  content=4.047e+05
phi=  38.1  x=  145.0  y= -185.0  content=6.436e+05
phi=  38.5  x=  155.0  y= -195.0  content=8.746e+05
phi=  38.8  x=  165.0  y= -205.0  content=9.321e+05
phi=  39.1  x=  175.0  y= -215.0  content=1.048e+06
phi=  39.4  x=  185.0  y= -225.0  content=1.197e+06
phi=  39.7  x=  195.0  y= -235.0  content=8.009e+05
phi=  39.9  x=  205.0  y= -245.0  content=4.138e+05
phi=  40.2  x=  165.0  y= -195.0  content=2.644e+05
phi=  40.5  x=  175.0  y= -205.0  content=3.305e+05
phi=  40.7  x=  185.0  y= -215.0  content=7.567e+05
phi=  40.9  x=  195.0  y= -225.0  content=8.064e+05
phi=  41.1  x=  205.0  y= -235.0  content=1.242e+06
phi=  55.3  x=   65.0  y=  -45.0  content=4.317e+06
phi=  59.0  x=   75.0  y=  -45.0  content=2.524e+06
phi=  61.7  x=   65.0  y=  -35.0  content=2.291e+06
phi=  62.1  x=   85.0  y=  -45.0  content=1.439e+06
phi=  62.4  x=  105.0  y=  -55.0  content=8.215e+05
phi=  64.3  x=  135.0  y=  -65.0  content=3.736e+05
phi=  64.4  x=  115.0  y=  -55.0  content=7.566e+05
phi=  64.7  x=   95.0  y=  -45.0  content=1.02e+06
phi=  65.9  x=  145.0  y=  -65.0  content=8.951e+05
phi=  66.3  x=  125.0  y=  -55.0  content=6.845e+05
phi=  66.8  x=  175.0  y=  -75.0  content=1.362e+06
phi=  67.2  x=  155.0  y=  -65.0  content=1.123e+06
phi=  67.5  x=  205.0  y=  -85.0  content=5.284e+05
phi=  67.8  x=  135.0  y=  -55.0  content=3.799e+05
phi=  67.9  x=  185.0  y=  -75.0  content=2.571e+06
phi=  68.5  x=  165.0  y=  -65.0  content=1.477e+06
phi=  69.0  x=  195.0  y=  -75.0  content=2.08e+06
phi=  69.6  x=  175.0  y=  -65.0  content=4.111e+05
phi=  69.9  x=  205.0  y=  -75.0  content=1.568e+06
phi= 110.1  x=  205.0  y=   75.0  content=1.577e+06
phi= 110.4  x=  175.0  y=   65.0  content=4.159e+05
phi= 111.0  x=  195.0  y=   75.0  content=2.048e+06
phi= 111.5  x=  165.0  y=   65.0  content=1.467e+06
phi= 112.1  x=  185.0  y=   75.0  content=2.364e+06
phi= 112.2  x=  135.0  y=   55.0  content=3.729e+05
